ID_TA,Rating,score1,score2,score3,score4,sum_score
d1912643,3.5,3.5,4.0,3.5,3.5,14.5
d7992032,4.0,4.5,4.5,0.0,4.5,13.5
d8632781,4.5,4.0,4.0,4.0,4.0,16.0
d1358776,5.0,4.5,4.5,4.5,4.5,18.0
d6864963,4.0,4.5,5.0,0.0,4.5,14.0
d12503536,3.0,4.0,4.0,4.0,3.5,15.5
d5808504,4.0,4.5,5.0,4.5,4.5,18.5
d3199765,3.0,4.5,4.5,3.5,4.5,17.0
d12845029,4.0,0.0,0.0,0.0,0.0,0.0
d8020681,4.0,3.5,3.5,0.0,3.0,10.0
d10696479,3.0,4.5,4.5,4.0,4.0,17.0
d12402429,4.0,4.0,4.0,3.5,3.5,15.0
d2259559,3.5,4.0,3.5,3.5,3.5,14.5
d12107166,4.5,0.0,0.0,0.0,0.0,0.0
d10859423,4.0,0.0,0.0,0.0,0.0,0.0
d6633059,4.0,4.0,4.0,4.0,3.5,15.5
d10266473,4.0,4.0,4.0,4.0,4.0,16.0
d8659568,4.5,4.0,4.0,0.0,4.0,12.0
d3702312,4.0,4.0,4.0,0.0,4.0,12.0
d8155327,3.0,0.0,0.0,0.0,0.0,0.0
d10524693,5.0,4.0,4.0,3.5,4.0,15.5
d10058810,4.0,3.0,3.0,3.0,3.0,12.0
d2508041,3.5,3.0,3.0,0.0,3.5,9.5
d1018940,4.0,4.5,4.5,4.5,4.5,18.0
d7617571,3.0,4.5,4.5,4.0,4.0,17.0
d12018194,5.0,0.0,0.0,0.0,0.0,0.0
d10060659,5.0,4.5,4.0,0.0,4.5,13.0
d11616946,3.5,5.0,5.0,0.0,4.5,14.5
d2040769,4.5,0.0,0.0,0.0,0.0,0.0
d5776152,2.5,4.0,4.0,4.0,3.5,15.5
d11841754,3.0,0.0,0.0,0.0,0.0,0.0
d3591150,4.5,4.0,4.5,4.0,4.0,16.5
d8791087,5.0,4.5,4.5,4.0,4.5,17.5
d3543959,3.0,3.5,4.0,0.0,3.5,11.0
d5263694,4.5,4.0,4.0,3.5,4.0,15.5
d10302313,4.5,4.5,4.0,4.0,4.0,16.5
d3267260,3.0,4.0,3.5,4.0,3.5,15.0
d13322935,5.0,4.0,4.0,3.5,4.0,15.5
d3543081,4.5,0.0,0.0,0.0,0.0,0.0
d12447161,4.0,4.5,4.5,0.0,4.5,13.5
